province_code,province,year,temp,prec,sun,sw_actual,sw_clear,days
110000,北京市,2011,11.213205479452055,624.92,3599.630543170674,15.372383561643836,18.70498630136986,365
110000,北京市,2012,10.87707650273224,696.9,3551.7463278835216,15.153169398907105,18.686830601092897,366
110000,北京市,2013,11.313095890410958,583.38,3495.962719947091,15.077315068493151,18.889972602739725,365
110000,北京市,2014,12.753479452054794,486.33,3534.6760896205487,15.101205479452053,18.71268493150685,365
110000,北京市,2015,12.325506849315069,543.41,3508.064785473859,15.13745205479452,18.899890410958903,365
110000,北京市,2016,12.202650273224044,689.91,3573.340389227937,15.585027322404372,19.10325136612022,366
110000,北京市,2017,12.696109589041095,548.03,3625.68869625965,15.907150684931507,19.216575342465752,365
110000,北京市,2018,12.344027397260273,609.96,3522.817950612617,15.387753424657534,19.13194520547945,365
110000,北京市,2019,13.006986301369864,498.05,3603.721540656205,15.801643835616439,19.205479452054796,365
110000,北京市,2020,12.288196721311474,704.27,3571.558062567046,15.597349726775956,19.127896174863388,366
110000,北京市,2021,11.983616438356165,991.51,3412.760808331768,14.778383561643835,18.966849315068494,365
110000,北京市,2022,11.520301369863013,721.6,3591.20226396318,15.89123287671233,19.381698630136984,365
110000,北京市,2023,12.876164383561644,703.23,3557.338448298746,15.591342465753424,19.19695890410959,365
120000,天津市,2011,11.379424657534246,622.29,3605.009259200133,14.12517808219178,17.161753424657533,365
120000,天津市,2012,10.919071038251367,809.09,3588.4340700777807,14.09879781420765,17.208825136612024,366
120000,天津市,2013,11.293123287671232,522.1,3506.4963010001584,13.81586301369863,17.257534246575343,365
120000,天津市,2014,12.885972602739725,465.17,3582.24073205068,13.942931506849316,17.048000000000002,365
120000,天津市,2015,12.405726027397261,541.24,3547.5298458420098,14.012931506849316,17.30123287671233,365
120000,天津市,2016,12.279972677595628,689.43,3577.4128804519805,14.527677595628415,17.786939890710382,366
120000,天津市,2017,12.86172602739726,489.21,3644.3664097318288,14.863917808219178,17.86427397260274,365
120000,天津市,2018,12.52931506849315,601.45,3576.180074635717,14.709917808219178,18.01627397260274,365
120000,天津市,2019,13.083945205479454,482.98,3652.846822871824,14.887835616438357,17.851479452054793,365
120000,天津市,2020,12.447841530054644,678.38,3582.6367056406466,14.750273224043717,18.03314207650273,366
