fold,n_train,n_test,n_cities,r2,rmse_log
安徽,702,208,16,0.2295,0.7673
江苏,741,169,13,0.4401,0.5737
河北,767,143,11,-0.2742,0.7265
河南,689,221,17,-0.0874,0.718
湖北,741,169,13,0.0787,0.7305
